"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"StorageDuration","Storage Duration","Duration or temporal limitation on storage of personal data","dpv:StorageCondition,dpv:Duration","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"StorageLocation","Storage Location","Location or geospatial scope where the data is stored","dpv:StorageCondition,dpv:Location","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"StorageRestoration","Storage Restoration","Regularity and temporal span of data restoration/backup mechanisms that guarantee that data is preserved","dpv:StorageCondition","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"StorageCondition","Storage Condition","Conditions required or followed regarding storage of data","sc__dpv:ProcessingContext","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"AutomationOfProcessing","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"FullyAutomatedProcessing","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"AutomatedProcessingWithHumanVerification","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"AutomatedProcessingWithHumanOversight","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"AutomatedProcessingWithHumanInput","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"PartiallyAutomatedProcessing","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"CompletelyManualProcessing","","","","","","","","","","proposed","","","","","","","","","","","","","","","","",""
"Scale","Scale","A measurement along some dimension","","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","","","","","","","","","","","","","","","",""
"DataVolume","Data Volume","Volume or Scale of Data","dpv:Scale","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","","","","","","","","","","","","","","","",""
"DataSubjectScale","Data Subject Scale","Scale of Data Subject(s)","dpv:Scale","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","","","","","","","","","","","","","","","",""
"GeographicScale","Geographic Scale","Geographic Scale","dpv:Scale","","","","","","","proposed","Harshvardhan J. Pandit, Georg P Krog, Rana Saniei","","","","","","","","","","","","","","","",""
"MassiveDataVolume","MassiveDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"HugeDataVolume","HugeDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"LargeDataVolume","LargeDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MediumDataVolume","MediumDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SmallDataVolume","SmallDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SporadicDataVolume","SporadicDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SingularDataVolume","SingularDataVolume","","dpv:DataVolume","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MassiveScaleOfDataSubjects","MassiveScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"HugeScaleOfDataSubjects","HugeScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"LargeScaleOfDataSubjects","LargeScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MediumScaleOfDataSubjects","MediumScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SmallScaleOfDataSubjects","SmallScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SporadicScaleOfDataSubjects","SporadicScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SingularScaleOfDataSubjects","SingularScaleOfDataSubjects","","dpv:DataSubjectScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MassiveGeographicScale","MassiveGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"HugeGeographicScale","HugeGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"LargeGeographicScale","LargeGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MediumGeographicScale","MediumGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SmallGeographicScale","SmallGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SporadicGeographicScale","SporadicGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"SingularGeographicScale","SingularGeographicScale","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"GeographicCoverage","Geographic Coverage","","dpv:GeographicScale","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"GlobalScale","GlobalScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"NearlyGlobalScale","NearlyGlobalScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"MultiNationalScale","MultiNationalScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"NationalScale","NationalScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"RegionalScale","RegionalScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"LocalityScale","LocalityScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"WithinEnvironmentScale","WithinEnvironmentScale","","dpv:GeographicCoverage","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
