"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"ExtremelyLowRisk","Extremely Low Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels","","0.01","","","","","","","","","","","","","","","","","","","","","",""
"VeryLowRisk","Very Low Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels,dpv-risk-matrix:5RiskLevels","","0.1","","","","","","","","","","","","","","","","","","","","","",""
"LowRisk","Low Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels,dpv-risk-matrix:5RiskLevels,dpv-risk-matrix:3RiskLevels","","0.25","","","","","","","","","","","","","","","","","","","","","",""
"ModerateRisk","Moderate Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels,dpv-risk-matrix:5RiskLevels,dpv-risk-matrix:3RiskLevels","","0.5","","","","","","","","","","","","","","","","","","","","","",""
"HighRisk","High Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels,dpv-risk-matrix:5RiskLevels,dpv-risk-matrix:3RiskLevels","","0.75","","","","","","","","","","","","","","","","","","","","","",""
"VeryHighRisk","Very High Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels,dpv-risk-matrix:5RiskLevels","","0.9","","","","","","","","","","","","","","","","","","","","","",""
"ExtremelyHighRisk","Extremely High Risk","","dpv:RiskLevel,dpv-risk-matrix:7RiskLevels","","0.99","","","","","","","","","","","","","","","","","","","","","",""
"3RiskLevels","3 Risk Levels","","dpv:RiskLevel","","","","","","","","","","","","","","","","","","","","","","","",""
"5RiskLevels","5 Risk Levels","","dpv:RiskLevel","","","","","","","","","","","","","","","","","","","","","","","",""
"7RiskLevels","7 Risk Levels","","dpv:RiskLevel","","","","","","","","","","","","","","","","","","","","","","","",""
"ExtremelyLowLikelihood","Extremely Low Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels","","0.01","","","","","","","","","","","","","","","","","","","","","",""
"VeryLowLikelihood","Very Low Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels,dpv-risk-matrix:5LikelihoodLevels","","0.1","","","","","","","","","","","","","","","","","","","","","",""
"LowLikelihood","Low Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels,dpv-risk-matrix:5LikelihoodLevels,dpv-risk-matrix:3LikelihoodLevels","","0.25","","","","","","","","","","","","","","","","","","","","","",""
"ModerateLikelihood","Moderate Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels,dpv-risk-matrix:5LikelihoodLevels,dpv-risk-matrix:3LikelihoodLevels","","0.5","","","","","","","","","","","","","","","","","","","","","",""
"HighLikelihood","High Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels,dpv-risk-matrix:5LikelihoodLevels,dpv-risk-matrix:3LikelihoodLevels","","0.75","","","","","","","","","","","","","","","","","","","","","",""
"VeryHighLikelihood","Very High Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels,dpv-risk-matrix:5LikelihoodLevels","","0.9","","","","","","","","","","","","","","","","","","","","","",""
"ExtremelyHighLikelihood","Extremely High Likelihood","","dpv:Likelihood,dpv-risk-matrix:7LikelihoodLevels","","0.99","","","","","","","","","","","","","","","","","","","","","",""
"3LikelihoodLevels","3 Likelihood Levels","","dpv:Likelihood","","","","","","","","","","","","","","","","","","","","","","","",""
"5LikelihoodLevels","5 Likelihood Levels","","dpv:Likelihood","","","","","","","","","","","","","","","","","","","","","","","",""
"7LikelihoodLevels","7 Likelihood Levels","","dpv:Likelihood","","","","","","","","","","","","","","","","","","","","","","","",""
"ExtremelyLowSeverity","Extremely Low Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels","","0.01","","","","","","","","","","","","","","","","","","","","","",""
"VeryLowSeverity","Very Low Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels,dpv-risk-matrix:5SeverityLevels","","0.1","","","","","","","","","","","","","","","","","","","","","",""
"LowSeverity","Low Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels,dpv-risk-matrix:5SeverityLevels,dpv-risk-matrix:3SeverityLevels","","0.25","","","","","","","","","","","","","","","","","","","","","",""
"ModerateSeverity","Moderate Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels,dpv-risk-matrix:5SeverityLevels,dpv-risk-matrix:3SeverityLevels","","0.5","","","","","","","","","","","","","","","","","","","","","",""
"HighSeverity","High Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels,dpv-risk-matrix:5SeverityLevels,dpv-risk-matrix:3SeverityLevels","","0.75","","","","","","","","","","","","","","","","","","","","","",""
"VeryHighSeverity","Very High Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels,dpv-risk-matrix:5SeverityLevels","","0.9","","","","","","","","","","","","","","","","","","","","","",""
"ExtremelyHighSeverity","Extremely High Severity","","dpv:Severity,dpv-risk-matrix:7SeverityLevels","","0.99","","","","","","","","","","","","","","","","","","","","","",""
"3SeverityLevels","3 Severity Levels","","dpv:Severity","","","","","","","","","","","","","","","","","","","","","","","",""
"5SeverityLevels","5 Severity Levels","","dpv:Severity","","","","","","","","","","","","","","","","","","","","","","","",""
"7SeverityLevels","7 Severity Levels","","dpv:Severity","","","","","","","","","","","","","","","","","","","","","","","",""
