"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"AnonymisedData","Anonymised Data","Personal Data that has been (fully and completely) anonymised so that it is no longer considered Personal Data","dpv:NonPersonalData","sc","","","","It is advised to carefully consider indicating data is fully or completely anonymised by determining whether the data by itself or in combination with other data can identify a person. Failing this condition, the data should be denoted as PseudoAnonymisedData. To indicate data is anonymised only for a specified entity (e.g. within an organisation), the concept AnonymisedDataWithinScope (as subclass of PseudoAnonymisedData) should be used instead of AnonymisedData.","","2022-01-19","","accepted","Piero Bonatti","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"ContextuallyAnonymisedData","Contextually Anonymised Data","Data that can be considered as being fully anonymised within a Context","dpv:PseudoAnonymisedData","sc","","","","To distinguish between pseudo-anonymised data that can be effectively treated as anonymised data (e.g. in processing) within a context (e.g. an organisation), the concept ContextuallyAnonymisedData should be used instead of AnonymisedData. Transfer of this data outside of the context should consider that it is not anonymised, but is pseudo-anonymised data.","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"CollectedPersonalData","Collected Personal Data","Personal Data that has been collected from another source such as the Data Subject","dpv:PersonalData","sc","","","","To indicate the source of data, use the DataSource concept with the hasDataSource relation","","2022-03-30","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"Data","Data","A broad concept representing  'data' or 'information'","dpv:Concept","a","","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"DerivedPersonalData","Derived Personal Data","Personal Data that is obtained or derived from other data","dpv:PersonalData","sc","","svd:Derived","","Derived Data is data that is obtained through processing of existing data, e.g. deriving first name from full name. To indicate data that is derived but which was not present or evident within the source data, InferredPersonalData should be used.","(DPVCG, https://www.w3.org/community/dpvcg/)","2019-05-07","2022-01-19","accepted","Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"GeneratedPersonalData","Generated Personal Data","Personal Data that is generated or brought into existence without relation to existing data i.e. it is not derived or inferred from other data","dpv:PersonalData","sc","","","","Generated Data is used to indicate data that is produced and is not derived or inferred from other data","","2022-03-30","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/03/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"InferredPersonalData","Inferred Personal Data","Personal Data that is obtained through inference from other data","dpv:DerivedPersonalData,dpv:GeneratedPersonalData","sc","","","","Inferred Data is derived data generated from existing data, but which did not originally exist within it, e.g. inferring demographics from browsing history.","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"NonPersonalData","Non-Personal Data","Data that is not Personal Data","dpv:Data","sc","","","","The term NonPersonalData is provided to distinguish between PersonalData and other data, e.g. for indicating which data is regulated by privacy laws. To specify personal data that has been anonymised, the concept AnonymisedData should be used.","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"ObservedPersonalData","Observed Personal Data","Personal Data that has been collected through observation of the Data Subject(s)","dpv:CollectedPersonalData","sc","","","","","","2022-08-24","","accepted","Georg P Krog","","","","","","","","","","","","","",""
"PersonalData","Personal Data","Data directly or indirectly associated or related to an individual.","dpv:Data","sc","","spl:AnyData","rdfs:seeAlso","This definition of personal data encompasses the concepts used in GDPR Art.4-1 for 'personal data' and ISO/IEC 2700 for 'personally identifiable information (PII)'.","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2022-01-19","accepted","Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
