"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"A6-1-a","Art.6(1-a) consent","consent of the data subject","dpv:ExpressedConsent","sc","","","","Consent can be explicit or non-explicit. To express these specifically, see the explicit and non-explicit variations provided for Art.6-1a.","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)","2022-09-07","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"A6-1-a-non-explicit-consent","Art.6(1-a) regular consent","consent (non-explicit or regular) of the data subject","dpv-gdpr:A6-1a,dpv:ExpressedConsent","sc","","","","Definition of consent: A data subject's unambigious/clear affirmative action that signifies an agreement to process their personal data (Rigo Wenning) . What is referred to as 'non-explicit consent' here is also termed as 'regular' consent in the Article 29 Working Party document ""Guidelines on Consent under Regulation 2016/679 (wp259rev.01)"". This is the legal basis that requires consent but not at the level of being 'explicit'.","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)","2019-04-10","2022-09-07","changed","Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit, Rigo Wenning","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-a-explicit-consent","Art 6(1-a) explicit consent","consent (explicit) of the data subject","dpv-gdpr:A6-1a,dpv:ExplicitlyExpressedConsent","sc","","","","Valid consent in this case would have requirements for being 'explicit' in addition to requirements defined by A4-11. This is also mentioned in the Article 29 Working Party document ""Guidelines on Consent under Regulation 2016/679 (wp259rev.01)""","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)","2022-06-22","2022-09-07","changed","Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit, Rigo Wenning","https://www.w3.org/2022/06/22-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-b","Art 6(1-b) contract","performance of a contract","dpv:Contract","sc","","","","","(GDPR Art.6-1b,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_b/oj)","2019-04-05","2021-09-08","accepted","Eva Schlehahn, Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-c","Art 6(1-c) legal obligation","compliance with a legal obligation","dpv:LegalObligation","sc","","","","","(GDPR Art.6-1c,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_c/oj)","2019-04-05","2021-09-08","accepted","Eva Schlehahn, Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-d","Art 6(1-d) protect vital interests","protection of the vital interests","dpv:VitalInterest","sc","","","","","(GDPR Art.6-1d,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_d/oj)","2019-04-05","2021-09-08","accepted","Eva Schlehahn, Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-e","Art 6(1-e) public interest or official authority","public interest or official authority","dpv:PublicInterest,dpv:OfficialAuthorityOfController","sc","","","","","(GDPR Art.6-1e,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_e/oj)","2019-04-05","2021-09-08","accepted","Eva Schlehahn, Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-e-public-interest","Art 6(1-e) public interest","public interest","dpv-gdpr:A6-1-e,dpv:PublicInterest","sc","","","","","(GDPR Art.6-1e,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_e/oj)","2022-08-24","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-e-official-authority","Art 6(1-e) official authority","official authority","dpv-gdpr:A6-1-e,dpv:OfficialAuthorityOfController","sc","","","","","(GDPR Art.6-1e,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_e/oj)","2022-08-24","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A6-1-f","Art 6(1-f) legitimate interest","legitimate interests","dpv:LegitimateInterest","sc","","","","","(GDPR Art.6-1f,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_f/oj)","2019-04-05","2021-09-08","accepted","Eva Schlehahn, Bud Bruegger","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"A10","A10","(TBD: pending clarity)","","","","","","","","","","proposed","Georg P Krog","","","","","","","","","","","","","",""
