Term,Label,Definition,ParentTerm,ParentType,Value,Role,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
GDPRRightsImpact,GDPR Rights Impact,Something that acts as or is considered as an impact on one or more rights defined by GDPR,risk:RightsImpact,dpv:RiskConcept,,"R,C,I",,,,,2024-12-01,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A13-Impact,Impact on A13 Right to be Informed,Something that acts as or is considered as an impact on A13 Right to be Informed,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.13,https://eur-lex.europa.eu/eli/reg/2016/679/art_13/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A14-Impact,Impact on A14 Right to be Informed,Something that acts as or is considered as an impact on A14 Right to be Informed,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.14,https://eur-lex.europa.eu/eli/reg/2016/679/art_14/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A15-Impact,Impact on A15 Right of Access,Something that acts as or is considered as an impact on A15 Right of Access,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.15,https://eur-lex.europa.eu/eli/reg/2016/679/art_15/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A16-Impact,Impact on A16 Right to Rectification,Something that acts as or is considered as an impact on A16 Right to Rectification,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.16,https://eur-lex.europa.eu/eli/reg/2016/679/art_16/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A17-Impact,Impact on A17 Right to Erasure,Something that acts as or is considered as an impact on A17 Right to Erasure,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.17,https://eur-lex.europa.eu/eli/reg/2016/679/art_17/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A18-Impact,Impact on A18 Right to Restrict Processing,Something that acts as or is considered as an impact on A18 Right to Restrict Processing,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.18,https://eur-lex.europa.eu/eli/reg/2016/679/art_18/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A19-Impact,Impact on A19 Right to Rectification Notification,Something that acts as or is considered as an impact on A19 Right to Rectification Notification,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.19,https://eur-lex.europa.eu/eli/reg/2016/679/art_19/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A20-Impact,Impact on A20 Right to Data Portability,Something that acts as or is considered as an impact on A20 Right to Data Portability,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.20,https://eur-lex.europa.eu/eli/reg/2016/679/art_20/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A21-Impact,Impact on A21 Right to object,Something that acts as or is considered as an impact on A21 Right to object,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.21,https://eur-lex.europa.eu/eli/reg/2016/679/art_21/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A22-Impact,Impact on A22 Right to object to automated decision making,Something that acts as or is considered as an impact on A22 Right to object to automated decision making,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.22,https://eur-lex.europa.eu/eli/reg/2016/679/art_22/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A7-3-Impact,Impact on A7-3 Right to Withdraw Consent,Something that acts as or is considered as an impact on A7-3 Right to Withdraw Consent,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.7-3,https://eur-lex.europa.eu/eli/reg/2016/679/art_7/par_3/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A77-Impact,Impact on A77 Right to Complaint,Something that acts as or is considered as an impact on A77 Right to Complaint,eu-gdpr:GDPRRightsImpact,dpv:RiskConcept,,"R,C,I",,,,"(GDPR Art.77,https://eur-lex.europa.eu/eli/reg/2016/679/art_77/oj)",2024-10-21,2025-08-17,modified,,,,,,,,,,,,,,,,,,,
A13-Violated,A13 Violated,A violation of A13 obligation regarding providing information,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,"What constitutes as a violation of A13 depends on the particulars of the situation, therefore we suggest first representing the impact using the appropriate category of impact (e.g. denied, limited) and then assessing whether it constitutes as a violation ",,2024-10-21,2025-08-17,modified,,
A13-ExercisePrevented,A13 ExercisePrevented,The prevention of A13 obligation to provide information e.g. by preventing the data subject from obtaining this information,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
A13-Limited,A13 Limited,A limited fulfillment of A13 obligation to provide information e.g. not providing all required information ,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
A13-Denied,A13 Denied,A denial that A13 applied to the situation,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
A13-Unfulfilled,A13 Unfulfilled,Non-fulfillment of A13 obligation to provide required information,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
A13-Obstructed,A13 Obstructed,Obstruction of A13 obligation to provide information e.g. asking for unnecessary identity verification and making it difficult to obtain information,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
A13-Eroded,A13 Eroded,Erosion of A13 obligation to provide information e.g. by repeatedly and systematically limited or denying it,eu-gdpr:A13-Impact,dpv:RiskConcept,,"R,C,I",,,,,2024-10-21,2025-08-17,modified,,
