Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
A6-1-a,Art.6(1-a) consent,Legal basis based on data subject's given consent to the processing of his or her personal data for one or more specific purposes,dpv:ExpressedConsent,dpv:LegalBasis,,,,"Consent can be explicit or non-explicit. To express these specifically, see the explicit and non-explicit variations provided for Art.6-1a.","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)",2022-09-07,2022-11-24,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
A6-1-a-non-explicit-consent,Art.6(1-a) regular consent,Legal basis based on data subject's given non-explicit express consent to the processing of his or her personal data for one or more specific purposes,"eu-gdpr:A6-1-a,dpv:ExpressedConsent",dpv:LegalBasis,,,,"Definition of consent: A data subject's unambigious/clear affirmative action that signifies an agreement to process their personal data (Rigo Wenning) . What is referred to as 'non-explicit consent' here is also termed as 'regular' consent in the Article 29 Working Party document ""Guidelines on Consent under Regulation 2016/679 (wp259rev.01)"". This is the legal basis that requires consent but not at the level of being 'explicit'.","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)",2019-04-10,2022-11-24,accepted,"Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit, Rigo Wenning",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-a-explicit-consent,Art 6(1-a) explicit consent,Legal basis based on data subject's given explicit consent to the processing of his or her personal data for one or more specific purposes,"eu-gdpr:A6-1-a,dpv:ExplicitlyExpressedConsent",dpv:LegalBasis,,,,"Valid consent in this case would have requirements for being 'explicit' in addition to requirements defined by A4-11. This is also mentioned in the Article 29 Working Party document ""Guidelines on Consent under Regulation 2016/679 (wp259rev.01)""","(GDPR Art.6-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_a/oj)",2022-06-22,2022-11-24,accepted,"Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit, Rigo Wenning",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-b,Art 6(1-b) contract,Legal basis based on performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract,dpv:Contract,dpv:LegalBasis,,,,,"(GDPR Art.6-1b,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_b/oj)",2019-04-05,2022-11-24,accepted,"Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-b-enter-into-contract,Art 6(1-b) enter into contract,Legal basis based on taking steps at the request of the data subject prior to entering into a contract,"eu-gdpr:A6-1-b,dpv:EnterIntoContract",dpv:LegalBasis,,,,,"(GDPR Art.6-1b,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_b/oj)",2022-11-24,2022-11-24,accepted,Georg P Krog,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-b-contract-performance,Art 6(1-b) contract performance,Legal basis based on performance of a contract to which the data subject is party,"eu-gdpr:A6-1-b,dpv:ContractPerformance",dpv:LegalBasis,,,,,"(GDPR Art.6-1b,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_b/oj)",2022-11-24,2022-11-24,accepted,Georg P Krog,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-c,Art 6(1-c) legal obligation,Legal basis based on compliance with a legal obligation to which the controller is subject,dpv:LegalObligation,dpv:LegalBasis,,,,,"(GDPR Art.6-1c,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_c/oj)",2019-04-05,2022-11-24,accepted,"Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-d,Art 6(1-d) protect vital interests,Legal basis based on protecting the vital interests of the data subject or of another natural person,dpv:VitalInterest,dpv:LegalBasis,,,,,"(GDPR Art.6-1d,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_d/oj)",2019-04-05,2022-11-24,accepted,"Eva Schlehahn, Bud Bruegger, Harshvardhan J. Pandit",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-d-data-subject,Art 6(1-d) protect vital interests of data subject,Legal basis based on protecting the vital interests of the data subject,"eu-gdpr:A6-1-d,dpv:VitalInterestOfDataSubject",dpv:LegalBasis,,,,,"(GDPR Art.6-1d,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_d/oj)",2022-11-24,2022-11-24,accepted,Georg P Krog,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A6-1-d-natual-person,Art 6(1-d) protect vital interests of natural person,Legal basis based on protecting the vital interests of another natural person that is not the data subject,"eu-gdpr:A6-1-d,dpv:VitalInterestOfNaturalPerson",dpv:LegalBasis,,,,,"(GDPR Art.6-1d,https://eur-lex.europa.eu/eli/reg/2016/679/art_6/par_1/pnt_d/oj)",2022-11-24,2022-11-24,accepted,Georg P Krog,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
