Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
A9-2-a,Art 9(2-a) explicit consent,explicit consent with special categories of data,dpv:ExplicitlyExpressedConsent,dpv:LegalBasis,,,,,"(GDPR Art.9-2a,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_a/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-b,"Art 9(2-b) employment, social security, social protection law",employment and social security and social protection law,,dpv:LegalBasis,,,,,"(GDPR Art.9-2b,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_b/oj)",2019-04-05,,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-c,Art 9(2-c) protect vital interest,protection of the vital interests,dpv:VitalInterest,dpv:LegalBasis,,,,,"(GDPR Art.9-2c,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_c/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-d,Art 9(2-d) legitimate activities,"legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects;",dpv:LegitimateInterest,dpv:LegalBasis,,,,,"(GDPR Art.9-2d,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_d/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-e,Art 9(2-e) data made public,data manifestly made public by the data subject,,dpv:LegalBasis,,,,,"(GDPR Art.9-2e,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_e/oj)",2019-04-05,,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-f,Art 9(2-f) judicial process,"establishment, exercise or defence of legal claims / courts acting in their judicial capacity",,dpv:LegalBasis,,,,,"(GDPR Art.9-2f,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_f/oj)",2019-04-05,,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-g,Art 9(2-g) public interest,"substantial public interest, on the basis of Union or Member State law",dpv:PublicInterest,dpv:LegalBasis,,,,,"(GDPR Art.9-2g,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_g/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-h,Art 9(2-h) health & medicine,"preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3",,dpv:LegalBasis,,,,,"(GDPR Art.9-2h,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_h/oj)",2019-04-05,,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-i,Art 9(2-i) public interest in public health,public interest in public health,dpv:PublicInterest,dpv:LegalBasis,,,,,"(GDPR Art.9-2i,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_i/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
A9-2-j,"Art 9(2-j) public interest, scientific research, statistical purpose","public interest, scientific or historical research purposes or statistical purposes based on Union or Member State law",dpv:PublicInterest,dpv:LegalBasis,,,,,"(GDPR Art.9-2j,https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_2/pnt_j/oj)",2019-04-05,2021-09-08,accepted,"Eva Schlehahn, Bud Bruegger",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,
