Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Accent,Accent,Information about linguistic and speech accents.,pd:Language,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
AccountIdentifier,Account Identifier,Information about financial account identifier.,pd:FinancialAccount,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Acquantaince,Acquantaince,Information about acquaintainces in a social network.,pd:SocialNetwork,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Age,Age,Information about age,pd:PhysicalCharacteristic,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
AgeExact,Age Exact,"Information about the exact age (i.e. to some degree within a year, month, or day)",pd:AgeRange,dpv:PersonalData,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,
AgeRange,Age Range,Information about age range i.e. inexact age to some degree (i.e. some years),pd:Age,dpv:PersonalData,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,
ApartmentOwned,Apartment Owned,Information about apartment(s) owned and its history,pd:HouseOwned,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Association,Association,"Information about associations in a social network with other individuals, groups, or entities e.g. friend of a friend",pd:SocialNetwork,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Attitude,Attitude,Information about attitude.,pd:Behavioral,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Authenticating,Authenticating,Information about authentication and information used for authenticating,pd:Internal,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
AuthenticationHistory,Authentication History,Information about prior authentication and its outcomes such as login attempts or location.,pd:Behavioral,dpv:PersonalData,,,,,"(DPVCG, https://www.w3.org/community/dpvcg/)",2020-11-04,,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
BankAccount,Bank Account,Information about bank accounts.,pd:FinancialAccount,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Behavioral,Behavioral,Information about Behavior or activity,pd:External,dpv:PersonalData,,svd:Activity,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
BirthDate,Birth Date,Information about birth date,pd:Age,dpv:PersonalData,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,
BirthPlace,Birth Place,Information about birth place,pd:Location,dpv:PersonalData,,,,,,2022-04-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/04/20-dpvcg-minutes.html,,,,,,,,,,,,,
BloodType,Blood Type,Information about blood type.,pd:MedicalHealth,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
BrowserFingerprint,Browser Fingerprint,Information about the web browser which is used as a 'fingerprint',pd:DeviceBased,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
BrowserHistory,Browser History,Information about and including web browsing history,pd:BrowsingBehavior,dpv:PersonalData,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html,,,,,,,,,,,,,
BrowsingBehavior,Browsing Behavior,Information about browsing Behavior.,pd:Behavioral,dpv:PersonalData,,svd:OnlineActivity,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
BrowsingReferral,Browsing Referral,"Information about web browsing referrer or referral, which can be based on location, targeted referrals, direct, organic search, social media or actions, campaigns.",pd:BrowsingBehavior,dpv:PersonalData,,,,,"(DPVCG, https://www.w3.org/community/dpvcg/)",2020-11-04,,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
CallLog,Call Log,Information about the calls that an individual has made.,pd:Behavioral,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
CarOwned,Car Owned,Information about cars ownership and ownership history.,pd:Ownership,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
Character,Character,Information about character in the public sphere,pd:PublicLife,dpv:PersonalData,,,,,"(EnterPrivacy Categories of Personal Information, https://enterprivacy.com/wp-content/uploads/2018/09/Categories-of-Personal-Information.pdf)",2019-06-04,,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/2019/06/04-dpvcg-minutes.html,,,,,,,,,,,,,
