Status,Notes,Term (ignore),Term,Label (de),Label (en),Definition (de),Definition (en),ParentType,ParentTerm,Source,Contributors,Created
accepted,add DataLinkage to sector-health,Datenverknuepfung,DataLinkage,Datenverknüpfung,Data Linkage,Verknüpfung von pseudonymisierten Gesundheitsdaten.,Linkage of pseudonymized health data.,,dpv:Processing,[[GDNG]] § 4(1),Julian Flake,2025-10-13
accepted,,PseudonymisierteDaten,PseudonymizedData,Pseudonymisierte Daten,Pseudonymized Data,Pseudonymisierte Daten.,Pseudonymized health data.,,dpv:Data,[[GDNG]] § 4(1),Julian Flake,2025-10-13
accepted,,Datenverknuepfungsgenehmigung,DataLinkagePermission,Genehmigung zur Verknüpfung von pseudonymisierten Daten,Data Linkage Permission,Eine Genehmigung zur Verknüpfung von pseudonymisierten Daten.,A permission to link pseudonymized health data.,,dpv:Data,[[GDNG]] § 4(2),Julian Flake,2025-10-13
accepted,,Datenverknuepfungsantrag,DataLinkageRequest,Antrag auf Verknüpfung von pseudonymisierten Daten,Data Linkage Request,Ein Antrag auf Verknüpfung von pseudonymisierten Daten.,An application to get permission to link pseudonymized health data.,,dpv:Process,[[GDNG]] § 4(2),Julian Flake,2025-10-13
accepted,,Datenverknuepfungsantragsdaten,DataLinkageRequestRecord,Datenverknüpfungsantragsdaten,Data Linkage Request Record,Im Rahmen eines Datenverknüpfungsantrags zu erfassende und anfallende Daten,Data collected and produced by a Data Linkage Request,,dpv:Data,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,zu untersuchende Forschungsfrage,,,,,,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,zu verknüpfende Daten,Data to link,,,,dpv:Data,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,schutzwürdige Interessen der betroffenen Personen,Data subject rights,,,,,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,öffentliches Interesse,Public interest,,,,dpv:PublicInterest,[[GDNG]] § 4(2),Julian Flake,2025-10-13
rejected,,in actors,,Betroffene Person,Data subject,,,,dpv:DataSubject,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,Reidentifikationsrisiko,Reidentification risk,,,,dpv:Risk,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,wissenschaftlicher Nutzen,,,,,,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,geeignete Maßnahmen,,,,,dpv:TechnicalOrganisationalMeasure,[[GDNG]] § 4(2),Julian Flake,2025-10-13
,,,,Verfahren zur Genehmigung zur Verknüpfung,,,,,dpv:Process,[[GDNG]] § 4(4),Julian Flake,2025-10-13
,,,,Erteilung der Genehmigung zur Verknüpfung,,,,,dpv:Process,[[GDNG]] § 4(4),Julian Flake,2025-10-13
,,,,Antragsprozess,,,,,dpv:Process,[[GDNG]] § 4(4),Julian Flake,2025-10-13
,,,,geeignete technische und organisatorische Maßnahmen,,,,,dpv:TechnicalOrganisationalMeasure,[[GDNG]] § 4(5),Julian Flake,2025-10-13
,,,,Antragstellende,,,,,dpv:LegalEntity,[[GDNG]] § 4(5),Julian Flake,2025-10-13
,,,,Nutzungszweck,,,,,dpv:Purpose,[[GDNG]] § 4(5),Julian Flake,2025-10-13
,,,,Kopieren von Daten,,,,,dpv:Processing,[[GDNG]] § 4(5),Julian Flake,2025-10-13
proposed,,,,Forschungskennziffer,,anlassbezogen zu erstellen,,,dpv:Data,[[GDNG]] § 4(6),Julian Flake,2025-10-13
,,,,Vertrauensstelle,,nach § 303c des Fünften Buches Sozialgesetzbuch,,,dpv:LegalEntity,[[GDNG]] § 4(6),Julian Flake,2025-10-13
,,,,qualitätsgesicherte Datenzusammenführung,,,,,dpv:Processing,[[GDNG]] § 4(6),Julian Flake,2025-10-13
,,,,Datenbereinigungsverfahren,,,,,dpv:Processing,[[GDNG]] § 4(6),Julian Flake,2025-10-13
rejected,,Transfer exists,,Datenweitergabe,,,,,dpv:Processing,[[GDNG]] § 4(8),Julian Flake,2025-10-13
proposed,,sector-health?,,Leistungserbringer,,,,,dpv:LegalEntity,[[GDNG]] § 4(8),Julian Flake,2025-10-13
proposed,,sector-health?,,Leistungsträger,,,,,dpv:LegalEntity,[[GDNG]] § 4(8),Julian Flake,2025-10-13
,,,,unabsichtliche Herstellung eines Personenbezugs,,,,,dpv:Processing,[[GDNG]] § 4(8),Julian Flake,2025-10-13
,,,,zentrale Antrags- und Registerstelle,,nach § 10 des Bundeskrebsregisterdatengesetzes,,,dpv:LegalEntity,[[GDNG]] § 4(9),Julian Flake,2025-10-13
rejected,,already in legal-de,,Bundesbeauftragte/r f.d. Datenschutz und Informationsfreiheit,,,,,eu-gdpr:DataProtectionAuthority,[[GDNG]] § 4(9),Julian Flake,2025-10-13
rejected,,,,Bundesamt für Sicherheit in der Informationstechnik,,,,,dpv:LegalEntity,[[GDNG]] § 4(9),Julian Flake,2025-10-13
,,https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/5_Publikationen/Gesundheit/Abschlussberichte/Gutachten_DSK_Plato_2.pdf,,,,,,,,,,
