Term,A13,A14,A15,A16,A17,A18,A20,A21,A22,A7-3,A77,Status,,
A6-1-a,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,accepted,,,,,,,,,,,,,,,
A6-1-a-non-explicit-consent,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,accepted,,,,,,,,,,,,,,,
A6-1-a-explicit-consent,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,accepted,,,,,,,,,,,,,,,
A6-1-b,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-b-enter-into-contract,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-b-contract-performance,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-c,Y,N,Y,Y,N,Y,N,N,N,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-d,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-d-data-subject,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-d-natual-person,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-e,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-e-public-interest,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-e-official-authority,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-f,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-f-controller,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
A6-1-f-third-party,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,accepted,,,,,,,,,,,,,,,
