Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceDeliveryTerm,Service Delivery Term,Term related to Service Delivery,dpv:ContractualClause,sc,,,,,,,,,,,,,,,,,,,,,,,,,
ServiceDeliveryRequired,Service Delivery Required,Term that indicates the delivery of associated service is required and obligated,,"p7012:ServiceDeliveryTerm,dpv:Obligation",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsTerm,Analytics Term,Term related to Analytics,dpv:ContractualClause,sc,,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsAllowed,Analytics Allowed,Term that indicates analytics by 2nd and 3rd parties is allowed,,"p7012:AnalyticsTerm,dpv:Permission",,,,,,,,,,,,,,,,,,,,,,,,,
AnalyticsDisallowed,Analytics Disallowed,Term that indicates analytics by 2nd and 3rd parties is disallowed,,"p7012:AnalyticsTerm,dpv:Prohibition",,,,,,,,,,,,,,,,,,,,,,,,,
Analytics2PAllowed,Analytics by 2nd Party Allowed,Term that indicates analytics by 2nd Party is allowed,p7012:AnalyticsAllowed,"p7012:AnalyticsTerm,dpv:Permission",,,,,,,,,,,,,,,,,,,,,,,,,
Analytics3PDisallowed,Analytics by 3rd Party Allowed,Term that indicates analytics by 3rd Party is disallowed,p7012:AnalyticsDisallowed,"p7012:AnalyticsTerm,dpv:Prohibition",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrackingTerm,Tracking Term,Term related to Tracking,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingAllowed,Tracking Allowed,Term that indicates Tracking by 2nd and 3rd parties is allowed,,"p7012:TrackingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Tracking2PAllowed,Tracking by 2nd Party Allowed,Term that indicates Tracking 2nd Party is allowed,p7012:TrackingAllowed,"p7012:TrackingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingDisallowed,Tracking Disallowed,Term that indicates Tracking by 2nd and 3rd parties is disallowed ,,"p7012:TrackingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
Tracking3PDisallowed,Tracking by 3rd Party Disallowed,Term that indicates Tracking 3rd Party is disallowed,p7012:TrackingDisallowed,"p7012:TrackingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithoutPIIAllowed,Tracking Without PII Allowed,Term that indicates Tracking is allowed but only if it does not use any PII,p7012:TrackingAllowed,"p7012:TrackingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithoutFPAllowed,Tracking Without FP Allowed,Term that indicates Tracking is allowed but only if it does not involve Fingerprinting,p7012:TrackingAllowed,"p7012:TrackingTerm,dpv:Permission",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithPIIDisallowed,Tracking With PII Disallowed,Term that indicates Tracking involving use of PII is not allowed,p7012:TrackingDisallowed,"p7012:TrackingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
TrackingWithFPDisallowed,Tracking With FP Disallowed,Term that indicates Tracking involving use of Fingerprinting is not allowed,p7012:TrackingDisallowed,"p7012:TrackingTerm,dpv:Prohibition",,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProfilingTerm,Profiling Term,Term related to Profiling,dpv:ContractualClause,sc,,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
