Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Rule,Rule,A rule describing a process or control that directs or determines if and how an activity should be conducted,dpv:Concept,a,,,,,,2022-10-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Beatriz Esteves, Paul Ryan",,,,,,,,,,,,,,,,,,
AcceptableRule,Acceptable Rule,A rule that is acceptable where it is either desirable if it occurs or it is not unacceptable if it does,,dpv:Rule,,,,"Acceptable is a subjective concept that enables distinguishing with ""unacceptable"". By itself it does not signal any permission or obligation - for which further specific concepts are defined",,2025-06-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
Permission,Permission,A rule describing a permission to perform an activity,dpv:AcceptableRule,dpv:Rule,,,,Permissions are aligned with the term MAY in RFC2119 where specified activities may or may not be carried out,,2022-10-19,2025-06-19,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
Recommendation,Recommendation,A rule describing a recommendation for performing an activity,dpv:AcceptableRule,dpv:Rule,,,,Recommendations are aligned with the term SHOULD in RFC2119 where specified activities should be carried out but are not obligations,,2025-06-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
Obligation,Obligation,A rule describing an obligation for performing an activity,dpv:AcceptableRule,dpv:Rule,,,,Obligations are aligned with the term MUST in RFC2119 where specified activities are mandatory to be carried out,,2022-10-19,2025-06-19,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
UnacceptableRule,Unacceptable Rule,A rule that is unacceptable where it is not desirable if it occurs,,dpv:Rule,,,,"Unacceptable is a subjective concept that enables specifying something is to be avoided as compared to ""acceptable"". By itself it does not signal any deterrence or prohibition - for which further specific concepts are defined",,2025-06-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
Deterrence,Deterrence,A rule describing a deterrence for performing an activity,dpv:UnacceptableRule,dpv:Rule,,,,Deterrences are aligned with the term SHOULD NOT in RFC2119 where specified activities should be avoided from being carried out but are not prohibitions,,2025-06-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
Prohibition,Prohibition,A rule describing a prohibition to perform an activity,dpv:UnacceptableRule,dpv:Rule,,,,Prohibitions are aligned with the term MUST NOT in RFC2119 where specified activities are prohibited from being carried out,,2022-10-19,2025-06-19,modified,"Harshvardhan J. Pandit, Georg P. Krog, Julian Flake, Delaram Golpayegani, Beatriz Esteves, Arthit Suriyawongkul, Paul Ryan",,,,,,,,,,,,,,,,,,
RuleFulfilmentStatus,Rule Fulfilment Status,"Status associated with a rule for indicating whether it is applicable, or has been utilised, and whether the requirements of the rule have been fulfilled or violated",dpv:Status,sc,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RuleFulfilled,Rule Fulfilled,"Status indicating a rule has been fulfilled, completed, or satisfied",,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RuleUnfulfilled,Rule Unfulfilled,Status indicating a rule has not been fulfilled nor violated,,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RuleViolated,Rule Violated,"Status indicating a rule has been violated, breached, broken, or infracted",,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ObligationUnfulfilled,Obligation Unfulfilled,Status indicating an obligation has not been fulfilled i.e. the activity stated as being required to be carried out has not been carried out but this is not considered as a violation e.g. there is still time to conduct the activity,dpv:RuleUnfulfilled,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ObligationViolated,Obligation Violated,Status indicating an obligation has been violated i.e. the activity stated as being required to be carried out has not been carried out and this is considered as a violation i.e. the activity can no longer be carried out to fulfil the obligation,dpv:RuleViolated,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ObligationFulfilled,Obligation Fulfilled,Status indicating an obligation has been fulfilled i.e. the activity stated as being required to be carried out has been successfully completed,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PermissionUtilised,Permission Utilised,Status indicating a permission has been utilised i.e. the activity stated as being permitted has been carried out,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PermissionNotUtilised,Permission Not Utilised,Status indicating a permission has not been utilised i.e. the activity stated as being permitted has not been carried out,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ProhibitionViolated,Prohibition Violated,Status indicating a prohibition has been violated i.e. the activity stated as being prohibited has been carried out,dpv:RuleViolated,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ProhibitionUnviolated,Prohibition Unviolated,Status indicating a prohibition has not been violated i.e. the activity stated as being prohibited has not been carried out,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2024-09-10,2025-08-06,modified,"Harshvardhan J. Pandit, Beatriz Esteves, Julian Flake, Georg P. Krog",,,,,,,,,,,,,,,,,,
RecommendationFollowed,Recommendation Followed,Status indicating a recommendation has been followed i.e. the activity stated as being recommended has been carried out,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2025-08-06,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Julian Flake, Georg P. Krog",,,,,,,,,,,,,,,,,,
RecommendationNotFollowed,Recommendation Not Followed,Status indicating a recommendation has not been followed i.e. the activity stated as being recommended has not been carried out,dpv:RuleUnfulfilled,dpv:RuleFulfilmentStatus,,,,,,2025-08-06,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Julian Flake, Georg P. Krog",,,,,,,,,,,,,,,,,,
DeterrenceFollowed,Deterrence Followed,Status indicating a deterrence has been followed i.e. the activity stated as being deterred has not been carried out,dpv:RuleFulfilled,dpv:RuleFulfilmentStatus,,,,,,2025-08-06,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Julian Flake, Georg P. Krog",,,,,,,,,,,,,,,,,,
DeterrenceNotFollowed,Deterrence Not Followed,Status indicating a deterrence has not been followed i.e. the activity stated as being deterred has been carried out,dpv:RuleUnfulfilled,dpv:RuleFulfilmentStatus,,,,,,2025-08-06,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Julian Flake, Georg P. Krog",,,,,,,,,,,,,,,,,,
