Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,
hasPersonalDataHandling,has personal data handling,Indicates association with Personal Data Handling,dpv:Concept,dpv:PersonalDataHandling,dpv:Relation,,,,,2022-01-19,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
hasProcess,has process,Indicates association with a Process,dpv:Concept,dpv:Process,dpv:Relation,,,,,2023-12-10,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasPersonalDataProcess,has personal data process,Indicates association with a Personal Data Process,dpv:Concept,dpv:PersonalDataProcess,dpv:Relation,,,,,2023-12-11,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasNonPersonalDataProcess,has non-personal data process,Indicates association with a Non-Personal Data Process,dpv:Concept,dpv:NonPersonalDataProcess,dpv:Relation,,,,,2023-12-12,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
hasAIProcess,has AI process,Indicates association with a AI Process,dpv:Concept,dpv:AIProcess,dpv:Relation,,,EDITORIAL: Move to AI Extension?,,2023-12-13,,proposed,Harshvardhan J. Pandit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:title,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:description,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:date,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:isPartOf,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:hasPart,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,
dct:subject,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
