Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,,,
Bias,Bias,"Bias is defined as the systematic difference in treatment of certain objects, people, or groups in comparison to others",,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
CognitiveBias,Cognitive Bias,Bias that occurs when humans are processing and interpreting information,risk:Bias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
GroupAttributionBias,Group Attribution Bias,"Bias that occurs when a human assumes that what is true for an individual or object is also true for everyone, or all objects, in that group",risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
ImplicitBias,Implicit Bias,Bias that occurs when a human makes an association or assumption based on their mental models and memories,risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
ConfirmationBias,Confirmation Bias,"Bias that occurs when hypotheses, regardless of their veracity, are more likely to be confirmed by the intentional or unintentional interpretation of information",risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
InGroupBias,In-Group Bias,Bias that occurs when showing partiality to one's own group or own characteristics,risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
OutGroupHomogeneityBias,Out-Group Homogeneity Bias,"Bias that occurs when seeing out-group members as more alike than in-group members when comparing attitudes, values, personality traits, and other characteristics",risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
SocietalBias,Societal Bias,Bias that occurs when similiar cognitive bias (conscious or unconscious) is being held by many individuals in society,risk:CognitiveBias,risk:RiskConcept,,,,,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
RuleBasedSystemDesign,Rule-Based System Design,Bias that occurs due to developer experience and expert advice having a significant influence on rule-based system design,risk:CognitiveBias,risk:RiskConcept,,,,Rule based system design also potentially introduces various forms of human cognitive bias,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
RequirementsBias,Requirements Bias,Bias that occurs in or during requirements creation,risk:CognitiveBias,risk:RiskConcept,,,,Requirements bias also represents occasions for the human cognitive biases to manifest,ISO/IEC 24027:2021,2024-09-13,,accepted,Daniel Doherty,,,,,,,,,,,,,,,,,,
