Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Right,Right,"The right(s) applicable, provided, or expected",dpv:Concept,a,,,,"A 'right' is a legal, social, or ethical principle of freedom or entitlement which dictate the norms regarding what is allowed or owed. Rights as a concept encompass a broad area of norms and entities, and are not specific to Individuals or Data Protection / Privacy. For individual specific rights, see dpv:DataSubjectRight",,2020-11-18,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog",https://www.w3.org/2020/11/18-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DataSubjectRight,Data Subject Right,The rights applicable or provided to a Data Subject,,dpv:Right,,,,"Based on use of definitions, the notion of 'Data Subject Right' can be equivalent to 'Individual Right' or 'Right of a Person'",,2020-11-18,,accepted,"Beatriz Esteves, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2020/11/18-dpvcg-minutes.html,,,,,,,,,,,,,
Types of Rights,,,,,,,,,,,,,,
ActiveRight,Active Right,"The right(s) applicable, provided, or expected that need to be (actively) exercised",,dpv:Right,,,,"Active rights require the entity to expressly exercise them. For example, a Data Subject exercising their right to withdraw their consent.",,2022-10-22,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,
PassiveRight,Passive Right,"The right(s) applicable, provided, or expected that are always (passively) applicable",,dpv:Right,,,,"Passive rights do not require the entity to request or exercise them. They are considered to be always applicable. For example, the Right to Privacy (in EU) does not require an exercise for it to be fulfilled.",,2022-10-22,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog, Paul Ryan",,,,,,,,,,,,,,
Exercising Rights,,,,,,,,,,,,,,
RightNotice,Right Notice ,"Information associated with rights, such as which rights exist, when and where they are applicable, and other relevant information",dpv:Notice,dpv:OrganisationalMeasure,,,,"This concept also covers information about rights exercise, with dpv:RightExerciseNotice specifically representing information provided in connection with exercising of rights. Both notices may be needed, e.g. RightNotice for providing information about existence and exercise of rights, and RightExerciseNotice for providing additional information specifically about exercise of rights - such as to request more information or provide updates on an exercised rights request",,2024-06-16,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
RightExerciseNotice,Right Exercise Notice,"Information associated with exercising of an active right such as where and how to exercise the right, information required for it, or updates on an exercised rights request",dpv:RightNotice,dpv:OrganisationalMeasure,,,,"This concept is intended for providing information regarding a right exercise. For specific instances of such exercises, see RightExerciseActivity and RightExerciseRecord.",,2022-10-22,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog, Paul Ryan",https://www.w3.org/2022/11/02-dpvcg-minutes.html,,,,,,,,,,,,,
RightExerciseActivity,Right Exercise Activity,An activity representing an exercising of an active right,,dpv:OrganisationalMeasure,,,,There may be multiple activities associated with exercising and fulfilling rights. See the RightExerciseRecord concept for record-keeping of such activities in a cohesive manner.,,2022-11-02,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog, Paul Ryan",https://www.w3.org/2022/11/02-dpvcg-minutes.html,,,,,,,,,,,,,
RightExerciseRecord,Right Exercise Record,Record of a Right being exercised,dpv:RecordOfActivity,dpv:OrganisationalMeasure,,,,"This concept represents a record of one or more right exercise activities, such as those associated with a single data subject or service or entity",,2022-11-02,2025-05-26,modified,"Harshvardhan J. Pandit, Beatriz Esteves, Georg P. Krog, Paul Ryan",https://www.w3.org/2022/11/02-dpvcg-minutes.html
Rights related Notices,,,,,,,,,,,,,,
RightFulfilmentNotice,Right Fulfilment Notice,Notice provided regarding fulfilment of a right,dpv:RightExerciseNotice,dpv:OrganisationalMeasure,,,,"This notice is associated with situations where information is provided with the intention of progressing the fulfilment of a right. For example, a notice asking for more information regarding the scope of the right, or providing information on where to access the data provided under a right.",,2022-11-02,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2022/11/02-dpvcg-minutes.html,,,,,,,,,,,,,
RightNonFulfilmentNotice,Right Non-Fulfilment Notice,Notice provided regarding non-fulfilment of a right,dpv:RightExerciseNotice,dpv:OrganisationalMeasure,,,,"This notice is associated with situations where information is provided with the intention of communicating non-fulfilment of a right. For example, to provide justifications on why a right could not be fulfilled or providing information about another entity  who should be approached for exercising this right.",,2022-11-02,,accepted,"Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2022/11/02-dpvcg-minutes.html,,,,,,,,,,,,,
dcat:Resource,dcat:Resource,"A dataset, data service, or any other resource associated with Right Exercise - such as for providing a copy of data",dpv:Concept,a,,,,,,2022-11-02,,accepted,,,,,,,,,,,,,,,
