Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
SignificantIncidentNotice,Significant Incident Notice,Notice sent for reporting significant incidents,risk:IncidentNotice,sc,,,,,NIS 2 Directive Article 23(3),2024-05-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
EarlyWarningReport,Early Warning Report,Report sent within 24 hours of detection containing cause of the incident and whether it was unlawful or malicious and whether there is cross-border impact,,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(4)(a),2024-05-19,2025-08-05,modified,"Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",
IncidentAssessmentReport,Incident Assessment Report,Report sent within 72 hours of detection containing updates on the earlier information as well as initial assessment of severity and impact of the incident as well as any 'indicators of compromise',,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(4)(b),2024-05-19,2025-08-05,modified,"Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",
IntermediateReport,Intermediate Report,"Report sent upon request which provides updates, if any, to previous information",,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(4)(c),2024-05-19,2025-08-05,modified,"Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",
ProgressReport,Progress Report,"Report sent within 1 month of detection if the incident handling has not been completed by then, with updates to previous information",,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(4)(e),2024-05-19,2025-08-05,modified,"Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",
FinalReport,Final Report,"Report sent within 1 month of incident handling i.e. completing the incident recovery and containing the applied/ongoing measures, and containing a 'detailed description' of the incident including its severity and impact, threat type and root cause that are likely to have triggered the incident, applied and ongoing measures, and - if applicable - cross-border impacts",,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(4)(d),2024-05-19,2025-08-05,modified,"Harshvardhan J. Pandit, Georg P. Krog, Arthit Suriyawongkul",
InitialFeedbackOnIncident,Initial Feedback on Incident,"Notification from authority to organisation (upon request, within 24 hours or early warning) containing ""initial feedback"" and guidelines on measures that can be taken in response to a breach",,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(5),2024-05-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
RiskMitigationAdvice,Risk Mitigation Advice,Notification from organisation to stakeholders regarding risk mitigations to be applied and existence of threats,,risk:IncidentNotice,,,,,NIS 2 Directive Article 23(5),2024-05-19,,accepted,"Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
https://lists.w3.org/Archives/Public/public-dpvcg/2023Jul/0006.html,,,,,,,,,,,,,,
SignificantIncident,,,,,,,,,,,,,,
NonSignificantIncident,,,,,,,,,,,,,,
NearMissIncident,,,,,,,,,,,,,,
