Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
A45-3,Art 45(3) adequacy decision,Personal data can flow freely from the EU to a third country with an Adequacy Decision without any further safeguard being necessary.,dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has Adequacy Decision.,"(GDPR Art.45-3,https://eur-lex.europa.eu/eli/reg/2016/679/art_45/par_3/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
A46-2-a,Art 46(2-a) legal instrument,A legally binding and enforceable instrument between public authorities or bodies,dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority.,"(GDPR Art.46-2a,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_a/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201105,,,,,,,,,,,,,
A46-2-b,Art 46(2-b) Binding Corporate Rules (BCR),Binding corporate rules,"dpv:DataTransferLegalBasis,eu-gdpr:BindingCorporateRules",dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority.,"(GDPR Art.46-2b,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_b/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201106,,,,,,,,,,,,,
A46-2-c,Art 46(2-c) Standard Contractual Clauses (SCC) by EC,Standard data protection clauses adopted by the Commission,"dpv:DataTransferLegalBasis,eu-gdpr:SCCByCommission",dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority.,"(GDPR Art.46-2c,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_c/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201107,,,,,,,,,,,,,
A46-2-d,Art 46(2-d) Standard Contractual Clauses (SCC) by DPA,Standard data protection clauses adopted by a Supervisory Authority,"dpv:DataTransferLegalBasis,eu-gdpr:SCCBySupervisoryAuthority",dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority,"(GDPR Art.46-2d,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_d/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201108,,,,,,,,,,,,,
A46-2-e,Art 46(2-e) code of conduct,"An approved code of conduct pursuant to GDPR Article 40 together with binding and enforceable commitments of the controller or processor in the third country to apply the appropriate safeguards, including as regards individuals´ rights",dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority.,"(GDPR Art.46-2e,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_e/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201109,,,,,,,,,,,,,
A46-2-f,Art 46(2-f) certification,"An approved certification mechanism pursuant to GDPR Article 42 together with binding and enforceable commitments of the controller or processor in the third country to appy the appropriate safeguards, including as regards individuals` rights",dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Third country has appropriate safeguards. Transfer does not require specific authorisation from a Supervisor Authority.,"(GDPR Art.46-2f,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_2/pnt_f/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201110,,,,,,,,,,,,,
A46-3-a,Art 46(3-a) contractual clauses,"Contractual clauses with controller, processor or recipient of the personal data in the third country or the international organisation.",dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Appropriate safeguards exist. Transfer does requires specific authorisation from a Supervisor Authority.,"(GDPR Art.46-3a,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_3/pnt_a/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201111,,,,,,,,,,,,,
A46-3-b,Art 46(3-b) administrative arrangements,Provisions to be inserted into administrative arrangements between public authorities or bodies which include enforceable and effective data subject rights,dpv:DataTransferLegalBasis,dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Appropriate safeguards exist. Transfer does requires specific authorisation from a Supervisor Authority.,"(GDPR Art.46-3b,https://eur-lex.europa.eu/eli/reg/2016/679/art_46/par_3/pnt_b/oj)",2020-11-04,2021-09-08,accepted,Georg P Krog,https://www.w3.org/community/dpvcg/wiki/Workshop20201112,,,,,,,,,,,,,
A49-1-a,Art 49(1-a) explicit consent,"The data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards.","dpv:DataTransferLegalBasis,dpv:ExplicitlyExpressedConsent",dpv:LegalBasis,,,,Transfer from EU to a third country. Third country has no Adequacy Decision. Appropriate safeguards do not exist.,"(GDPR Art.49-1a,https://eur-lex.europa.eu/eli/reg/2016/679/art_49/par_1/pnt_a/oj)",2020-11-04,2022-06-22,changed,Georg P Krog,https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
