Status,Notes,Source,Term (ignore),Term,Label (de),Label (en),Definition (de),Definition (en),Usage,ParentType,ParentTerm,Contributors,Created
accepted,,[[GDNG]] § 6,Weiterverabeitung,HealthcareDataProcessing,Weiterverarbeitung von Versorgungsdaten nach § 6 GDNG,Processing of Healthcare Data pursuant to § 6 GDNG,"Weiterverarbeitung von Versorgungsdaten zur Qualitätssicherung, zur Förderung der Patientensicherheit und zu Forschungszwecken","Processing of healthcare data for quality assurance, for the promotion of patient safety and for research purposes",,,dpv:Processing,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-03
accepted,,[[GDNG]] § 6(1) point 1,Qualitätssicherung,QualityAssurance,Qualitätssicherung,Quality Assurance,Weiterverarbeitung von Versorgungsdaten zum Zweck der Qualitätssicherung,Processing of healthcare data for quality assurance,,,dpv:Purpose,"Julian Flake, Christian Draeger",2025-10-13
accepted,,[[GDNG]] § 6(1) point 1,FörderungDerPatientensicherheit,PromotionOfPatientSafety,Förderung der Patientensicherheit,Promotion of Patient Safety,Weiterverarbeitung von Versorgungsdaten zum Zweck der Förderung der Patientensicherheit,Processing of healthcare data for the promotion of patient safety,,,dpv:Purpose,"Julian Flake, Christian Draeger",2025-10-13
accepted,,[[GDNG]] § 6(1) point 2,Gesundheitsforschung,MedicalRehabNursingResearch,Medizinische rehabilitative und pflegerische Forschung ,Medical Rehab and Nursing Research Purposes,"Weiterverarbeitung von Versorgungsdaten zur medizinischen, rehabilitativen und zur pflegerischen Forschung","Processing of healthcare data for medical, rehabilitative and nursing research",,dpv:ScientificResearch,dpv:Purpose,"Julian Flake, Christian Draeger",2026-02-10
accepted,,[[GDNG]] § 6(1) point 3,,Statistics,"Statistische Zwecke, einschließlich Gesundheitsberichterstattung","Statistical Purposes, including Health Reporting","Weiterverarbeitung von Versorgungsdaten zu statistischen Zwecken, einschließlich Gesundheitsberichterstattung","Processing of healthcare data for statistical purposes, including health reporting",,,dpv:Purpose,"Julian Flake, Christian Draeger",2026-02-09
accepted,"Among ohters' auch: 'Inter alia' (Standard im EU-Recht)
",[[GDNG]] § 6(1),P6-1,P6-1,Rechtsgrundlage nach § 6(1) GDNG,Legal Basis pursuant to § 6(1) GDNG,Weiterverarbeitung von Daten auf Basis der Rechtsgrundlage § 6(1) GDNG unter Berücksichtigung aller sich daraus ergebenden Rechte und Pflichten ,"Processing of data on the basis of § 6(1) GDNG, taking into account all rights and obligations arising therefrom","Compliance with all rights and obligations from § 6(1) GDNG must be ensured. These include, among others: Processing of lawfully stored data pursuant to Regulation (EU) 2016/679 Art. 9(2) points (h) and (i)  for the purposes of quality assurance, patient safety, or for medical, rehabilitative and nursing research or for statistical purposes, including health reporting. Processed personal data shall be pseudonymised and, as soon as possible, anonymised. Further processing by natural persons requires a rights and roles concept. Further processed data shall be erased no later than after 30 years. § 14 of the Transplantation Act shall be observed",,dpv:LegalBasis,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-09
accepted,,[[GDNG]] § 6(3),Weitergabe,Transfer,Weitergabe ,Transfer,Weitergabe von personenbezogenen Daten an Dritte,Transfer of personal data to a third party,,dpv:Transfer,dpv:Processing,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-06
rejected,reduntant with P6-3,[[GDNG]] § 6(3),Einwilligung,Consent,Einwilligung der betroffenen Person,Consent of Data Subject,Einwilligung durch betroffene Person,Consent given by the data subject,,,dpv:Consent,"Julian Flake, Christian Draeger",2026-02-07
rejected,reduntant with P6-3,[[GDNG]] § 6(3),GesetzlicheVorschrift,StatutoryProvision,Gesetzliche Vorschrift,Statutory Provision ,"Eine geseztliche Vorschift, die die Weitergabe von personenbezogenen Daten an Dritte vorschreibt",The legal requirement to transfer personal data to a third party,,,dpv:LegalObligation,"Julian Flake, Christian Draeger",2026-02-09
accepted,,[[GDNG]] § 6(3) point 1,Erforderlichkeit,Necessity,Erforderlichkeit,Necessity,,,,,dpv:Necessity,"Julian Flake, Christian Draeger",2026-02-09
accepted,,[[GDNG]] § 6(3) point 2,VerarbeitungsAnforderungenKonform,ProcessingRequirementsConformance,Verarbeitungs-Anforderungskonform nach § 6 (1)(2)(4) GDNG,Conformant to Processing Requirements of § 6(1)(2)(4) GDNG,,,,,dpv:Obligation,"Julian Flake, Christian Draeger",2026-02-09
accepted,Interessensabwegung: https://dev.dpvcg.org/2.3-dev/dpv/modules/TOM#LegitimateInterestAssessment,[[GDNG]] § 6(3) point 3,BerechtigtesInteresse,LegitimateInterest,Berechtigtes Interesse,Legitimate Interest,,,,,dpv:LegitimateInterest,"Julian Flake, Christian Draeger",2026-02-10
accepted,,[[GDNG]] § 6(3) point 4,DSAZustimmung,DPAApproval,Zustimmung der zuständigen Datenschutzaufsichtsbehörde,Approval of competent data protection authority,,,,,dpv:LegalMeasure,"Julian Flake, Christian Draeger",2026-02-10
accepted,,[[GDNG]] § 6(3),"P6-3-Consent
","P6-3-Consent
",Rechtsgrundlage durch Einwilligung gemäß § 6(3) GDNG,Legal Basis by means of Consent pursuant to § 6(3) GDNG,"Weitergabe von personenbezogenen Daten an Dritte auf Grundlage einer Einwilligung der betroffenen Person nach § 6(3) GDNG, unter Berücksichtigung aller sich daraus ergebenden Rechte und Pflichten","Transfer of personal data to third parties based on consent of the data subject persuant to § 6(3) GDNG, taking into account all rights and obligations arising therefrom","Compliance with all rights and obligations from § 6(3) GDNG must be ensured. These include, among others: Transfer of personal data to third parties based on consent of the data subject, in compliance with all requirements of § 6(3) GDNG for the purposes defined in § 6(1) GDNG
",dpv:LegalBasis,dpv:LegalBasis,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-09
accepted,,[[GDNG]] § 6(3),"P6-3-Statutory
","P6-3-Statutory
",Rechtsgrundlage durch gesetzliche Vorschrift gemäß § 6(3) GDNG,Legal basis by means of statutory provision pursuant to § 6(3) GDNG,"Weitergabe von personenbezogenen Daten an Dritte auf Grundlage einer gesetzlichen Vorschrift nach § 6(3) GDNG, unter Berücksichtigung aller sich daraus ergebenden Rechte und Pflichten","Transfer of personal data to third parties based on the a statutory provision persuant to § 6(3) GDNG, taking into account all rights and obligations arising therefrom","Compliance with all rights and obligations from § 6(3) GDNG must be ensured. These include, among others: Transfer of personal data to third parties based on a statutory provision, in compliance with all requirements of § 6(3) GDNG for the purposes defined in § 6(1) GDNG",dpv:LegalBasis,dpv:LegalBasis,"Julian Flake, Christian Draeger, Matthias Löbe, Christian Henke",2026-02-09
