Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
ConsentStatus,Consent Status,The state or status of 'consent' that provides information reflecting its operational status and validity for processing data,dpv:Status,sc,,,,"States are useful as information artefacts to implement them in controlling processing, and to reflect the process and flow of obtaining and maintaining consent. For example, a database table that stores consent states for specific processing and can be queried to obtain them in an efficient manner. States are also useful in investigations to determine the use and validity of consenting practices","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentStatusValidForProcessing,Consent Status Valid for Processing,States of consent that can be used as valid justifications for processing data,,dpv:ConsentStatus,,,,"Practically, given consent is the only valid state for processing","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentStatusInvalidForProcessing,Consent Status Invalid for Processing,States of consent that cannot be used as valid justifications for processing data,,dpv:ConsentStatus,,,,This identifies the stages associated with consent that should not be used to process data,"(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentUnknown,Consent Unknown,State where information about consent is not available or is unknown,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"Consent states can be unknown, for example, when information is not available, or cannot be trusted, or is known to be inaccurate","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentRequested,Consent Requested,State where a request for consent has been made and is awaiting a decision,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,An example of this state is when a notice has been presented to the individual but they have not made a decision,"(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentRequestDeferred,Consent Request Deferred,State where a request for consent has been deferred without a decision,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,An example of this state is when the individual closes or dismisses a notice without making a decision. This state is intended for making the distinction between a notice being provided (as a consent request) and the individual interacting with the notice without making a decision - where the 'ignoring of a notice' is taken as consent being neither given nor refused,"(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentRefused,Consent Refused,The state where consent has been refused,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"An example of this state is when the individual clicks on a 'disagree' or 'reject' or 'refuse' button, or leaves a checkbox unticked","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentGiven,Consent Given,The state where consent has been given,dpv:ConsentStatusValidForProcessing,dpv:ConsentStatus,,,,"An example of this state is when the individual clicks on a button, ticks a checkbox, verbally agrees - or any other form that communicates their decision agreeing to the processing of data","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentExpired,Consent Expired,The state where the temporal or contextual validity of consent has 'expired',dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"An example of this state is when the obtained consent has been assigned a duration - which has lapsed or 'expired', making it invalid to be used further for processing data","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentInvalidated,Consent Invalidated,The state where consent has been deemed to be invalid,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"An example of this state is where an investigating authority or a court finds the collected consent did not meet requirements, and 'invalidates' both prior and future uses of it to carry out processing ","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentRevoked,Consent Revoked,The state where the consent is revoked by an entity other than the data subject and which prevents it from being further used as a valid state,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"An example of this state is when a Data Controller stops utilising previously obtaining consent, such as when that service no longer exists","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
ConsentWithdrawn,Consent Withdrawn,The state where the consent is withdrawn or revoked specifically by the data subject and which prevents it from being further used as a valid state,dpv:ConsentStatusInvalidForProcessing,dpv:ConsentStatus,,,,"This state can be considered a form of 'revocation' of consent, where the revocation can only be performed by the data subject. Therefore we suggest using ConsentRevoked when it is a non-data-subject entity, and ConsentWithdrawn when it is the data subject","(GConsent,https://w3id.org/GConsent)",2022-06-22,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
