Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Purpose,Purpose,Purpose or Goal of processing data or using technology,dpv:Concept,a,,spl:AnyPurpose,rdfs:seeAlso,"The purpose or goal here is intended to sufficiently describe the intention or objective of why the data or technology is being used, and should be broader than mere technical descriptions of achieving a capability. For example, ""Analyse Data"" is an abstract purpose with no indication of what the analyses is for as compared to a purpose such as ""Marketing"" or ""Service Provision"" which provide clarity and comprehension of the 'purpose' and can be enhanced with additional descriptions.","(SPECIAL Project,https://specialprivacy.ercim.eu/)",2019-04-05,2023-12-10,accepted,"Axel Polleres, Javier Fernández",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Sector,Sector,"Sector describes the area of application or domain that indicates or restricts scope for interpretation and application of purpose e.g. Agriculture, Banking",,a,,,,"There are various sector codes used commonly to indicate the domain of an organisation or business. Examples include NACE (EU), ISIC (UN), SIC and NAICS (USA).",,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer / Account Management,,,,,,,,,,,,,,
AccountManagement,Account Management,"Account Management refers to purposes associated with account management, such as to create, provide, maintain, and manage accounts",,dpv:Purpose,,,,,,2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CommunicationManagement,Communication Management,Communication Management refers to purposes associated with providing or managing communication activities e.g. to send an email for notifying some information,,dpv:Purpose,,,,"This purpose by itself does not sufficiently and clearly indicate what the communication is about. As such, it is recommended to combine it with another purpose to indicate the application. For example, Communication of Payment.",,2021-09-01,,accepted,"Georg P Krog, Paul Ryan, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/09/01-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CustomerManagement,Customer Management,"Customer Management refers to purposes associated with managing activities related with past, current, and future customers",,dpv:Purpose,,,,,,2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CommunicationForCustomerCare,Communication for Customer Care,"Customer Care Communication refers to purposes associated with communicating with customers for assisting them, resolving issues, ensuring satisfaction, etc. in relation to services provided","dpv:CustomerCare,dpv:CommunicationManagement",dpv:Purpose,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,,,,,
CustomerCare,Customer Care,"Customer Care refers to purposes associated with purposes for providing assistance, resolving issues, ensuring satisfaction, etc. in relation to services provided",dpv:CustomerManagement,dpv:Purpose,,svpu:Feedback,,,,2019-04-05,,accepted,"Harshvardhan J. Pandit, Javier Fernandez, Axel Polleres, Elmar Kiesling, Fajar Ekaputra, Simon Steyskal",https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CustomerClaimsManagement,Customer Claims Management,"Customer Claims Management refers to purposes associated with managing claims, including repayment of monies owed",dpv:CustomerManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
CustomerOrderManagement,Customer Order Management,Customer Order Management refers to purposes associated with managing customer orders i.e. processing of an order related to customer's purchase of good or services,dpv:CustomerManagement,dpv:Purpose,,,,,"(Belgian DPA ROPA Template, https://www.privacycommission.be/nl/model-voor-een-register-van-de-verwerkingsactiviteiten)",2021-09-08,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Beatriz",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
