Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Notice,Notice,"A notice is an artefact for providing information, choices, or controls",,dpv:OrganisationalMeasure,,,,"Notice refers to the information whereas Notification refers to the provision of that notice. In several cases, they are used interchangeably - for example Privacy Notice as a measure or control refers to both the information as well as the act of making it available. For 'active' contexts where this distinction is important, e.g. data breach notifications, see Notification concept.",,2021-09-08,,accepted,"Paul Ryan, David Hickey, Georg P. Krog, Harshvardhan J. Pandit",https://www.w3.org/2021/07/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PrivacyNotice,Privacy Notice,Represents a notice or document outlining information regarding privacy,dpv:Notice,dpv:OrganisationalMeasure,,,,,,2021-09-08,,accepted,"Georg P. Krog, Paul Ryan, David Hickey, Harshvardhan J. Pandit",https://www.w3.org/2021/07/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
ConsentNotice,Consent Notice,A Notice for information provision associated with Consent,dpv:PrivacyNotice,dpv:OrganisationalMeasure,,,,,,2022-06-21,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
SecurityIncidentNotice,Security Incident Notice,A notice providing information about security incident(s),dpv:Notice,dpv:OrganisationalMeasure,,,,,,2024-04-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DataBreachNotice,Data Breach Notice,"A notice providing information about data breach(es) i.e. unauthorised transfer, access, use, or modification of data",dpv:SecurityIncidentNotice,dpv:OrganisationalMeasure,,,,,"DGA 12.k, DGA 21.5 GDPR 33, GDPR 34",2024-04-14,,accepted,"Georg P. Krog, Paul Ryan, David Hickey, Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
DataTransferNotice,Data Transfer Notice,Notice for the legal entity for the transfer of its data,dpv:Notice,dpv:OrganisationalMeasure,,,,,DGA 5.9,2024-04-14,,accepted,"Georg P. Krog, Paul Ryan, David Hickey, Beatriz Esteves, Harshvardhan J. Pandit",,,,,,,,,,,,,,,,,,
Notice Types,,,,,,,,,,,,,,
LayeredNotice,Layered Notice,A notice that contains layered elements,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
GraphicalNotice,Graphical Notice,A notice that uses graphical elements such as visualisations and icons,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
JITNotice,Just-in-time Notice,"A notice that is provided ""just in time"" when collecting information or performing an activity",dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
OralNotice,Oral Notice,A notice provided orally or verbally,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
PostedNotice,Posted Notice,A notice that is posted as a sign or banner,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
DashboardNotice,Dashboard Notice,A notice that is provided within a dashboard also used for other purposes,dpv:Notice,dpv:OrganisationalMeasure,,,,,"(ICO - What methods can we use to provide privacy information?,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/what-methods-can-we-use-to-provide-privacy-information/)",2024-08-17,,accepted,,,,,,,,,,,,,,,,,,,
