Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
hasParty,has party,Specifies that an entity is a party to the context i.e. it has decision making abilities or has obligations and responsibilities,,p7012:Party,dpv:hasEntity,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasPerson,has person,Specifies the human individual or person involved as the First Party,,p7012:FirstPartyIndividual,p7012:hasParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasServiceProvider,has service provider,Specifies the Service Provider involved as the Second Party,,p7012:SecondPartyServiceProvider,p7012:hasParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasThirdParty,has third party,Specifies the party is involved as a Third Party,,p7012:ThirdParty,p7012:hasParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasAuthority,has authority,Specifies the involved authority,,p7012:Authority,p7012:hasParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasPartyAgent,has party agent,Specifies the agent that represents a party and can act on behalf of it - such as for signing contracts or negotiating terms,,p7012:PartyAgent,p7012:hasParty,,,Agents can be human or non-human i.e. machine agents,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasResponsibleParty,has responsible party,Specifies the party that is responsible for the activity,,p7012:ResponsibleParty,p7012:hasParty,,,,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
hasPrivacyAgent,has privacy agent,Specifies the agent that represents a party and can act on behalf of it to make decisions regarding privacy (and related matters),,p7012:PrivacyAgent,p7012:hasPartyAgent,,,Privacy Agents can be human or non-human i.e. machine agents,,2024-12-17,,accepted,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
