Term,Label,Definition,ParentTerm,ParentType,Right,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
JustificationA13EntityAlreadyInformed,Justification A13 - Entity Already Informed,Justification that A13 obligations for providing information do not apply as the data subject already has the information,justifications:EntityAlreadyInformed,dpv:Justification,A13,,,"This justification requires information on how the data subject was provided the information to satify the assertion, which can be provided as a description of comment",GDPR Art.13-4,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14EntityAlreadyInformed,Justification A14 - Entity Already Informed,Justification that A14 obligations for providing information do not apply as the data subject already has the information,justifications:EntityAlreadyInformed,dpv:Justification,A14,,,"This justification requires information on how the data subject was provided the information to satify the assertion, which can be provided as a description of comment",GDPR Art.14-5a,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14FulfilmentImpossible,Justification A14 - Fulfilment Impossible,Justification that A14 obligations for providing information are impossible to fulfill,justifications:FulfilmentImpossible,dpv:Justification,A14,,,"This justification requires information for why the fulfilment is impossible, such as technical impossibility, which can be provided as a description of comment",GDPR Art.14-5b,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14DisproportionateEffort,Justification A14 - Disproportionate Effort,Justification that A14 obligations for providing information will require a disproportionate effort to fulfill,justifications:DisproportionateEffortRequired,dpv:Justification,A14,,,"This justification requires information on why the effort is considered disproportionate, such as the amount of time or resources required, which can be provided as a description of comment",GDPR Art.14-5b,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14ObjectivesImpaired,Justification A14 - Objectives Impaired,Justification that A14 obligations for providing information will (seriously) impair the objectives of the processing,justifications:ObjectivesImpaired,dpv:Justification,A14,,,"This justification requires information on what objectives are being impaired and the nature of impairment, which can be provided as a description of comment",GDPR Art.14-5b,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14LegallyExempted,Justification A14 - Legally Exempted,Justification that A14 obligations for providing information is legally exempted,justifications:LegallyExempted,dpv:Justification,A14,,,"This justification requires information on which legal provision provides the exemption, which can be provided as a description of comment, or ideally through dpv:hasApplicableLaw to refer to the specific law or through dpv:hasLegalBasis to refer to the specific legal basis enabling this justification",GDPR Art.14-5c,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA14ConfidentialityCompromised,Justification A14 - Confidentiality Compromised,"Justification that A14 obligations for providing information cannot be fulfilled as the personal data must remain confidential subject to an obligation of professional secrecy regulated by Union or Member State law, including a statutory obligation of secrecy",justifications:ConfidentialityObligationCompromised,dpv:Justification,A14,,,"This justification requires information on which legal provision provides the confidentiality obligation, which can be provided as a description of comment, or ideally through dpv:hasApplicableLaw to refer to the specific law or through dpv:hasLegalBasis to refer to the specific legal basis enabling this justification",GDPR Art.14-5d,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA12ManifestlyUnfounded,Justification A12 - Manifestly Unfounded,Justification that a process under A13-A22 and A34 is manifestly unfounded and therefore is being charged a fee or is being refused,justifications:ProcessUnfounded,dpv:Justification,"A13,A14,A15,A16,A17,A18,A19,A20,A21,A22",,,"This justification requires information on why the process was considered manifestly unfounded which can be expressed through the additional concepts provided such as eu-gdpr:A12LackOfIntent or eu-gdpr:A12MaliciousIntent, or which can be provided as a description of comment",GDPR Art.12-5,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA12LackOfIntent,Justification A12 - Lack Of Intent,Justification that a request under A13-A22 and A34 is manifestly unfounded - in particular due to a lack of intent - and therefore is being charged a fee or is being refused,"justifications:LackOfIntent,eu-gdpr:JustificationA12ManifestlyUnfounded",dpv:Justification,"A13,A14,A15,A16,A17,A18,A19,A20,A21,A22",,,"This justification requires information on why or how the lack of intent was assessed, which can be provided as a description of comment",GDPR Art.12-5,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
JustificationA12MaliciousIntent,Justification A12 - Malicious Intent,Justification that a request under A13-A22 and A34 is manifestly unfounded - in particular due to malicious intent - and therefore is being charged a fee or is being refused,"justifications:ProcessMalicious,eu-gdpr:JustificationA12ManifestlyUnfounded",dpv:Justification,"A13,A14,A15,A16,A17,A18,A19,A20,A21,A22",,,"This justification requires information on why or how the malicious intent was assessed, which can be provided as a description of comment",GDPR Art.12-5,2024-12-17,,accepted,"Beatriz Esteves, Harshvardhan J. Pandit, Georg P. Krog",,,,,,,,,,,,,,,,
