Term,Label,Description,ParentTerm,DPV or DGA?,ParentType,Value,RelatedTerms,Relation,Comment,Source,Created,Modified,Status,Contributors,Resolution
,,,,,,,,,,,,,,,
Instructions,,"For the concepts in classes, categorise them as per top-level concept, e.g. entity, purpose etc. Then separate them into additions to DPV and new DGA extension. Then decide on necessary relations required for each.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Processing,,,,,,,,,,,,,,,
Processing (redefine),,"Change definition to process 'any' data - personal or non-personal. Subsequently, all processing operations will be applicable to non-personal data.",,,,,,,,,,,,,
Aggregate,Aggregate,Join data from multiple sources,dpv:Processing,dpv,,,,,,,,,,,
Display,Display,Show data in an organised way so that it can be seen by the public,dpv:MakeAvailable,dpv,,,odrl:display,rdfs:seeAlso,,DGA 2.20,,,,,
Download,Download,"Copy and receive data from one computer system to another over a network, e.g., over the internet",dpv:Copy,dpv,,,,,,"DGA 2.13, 2.20",,,,,
Export,Export,Provide a copy of data from one system to another,dpv:Copy,dpv,,,,,,DGA 2.20,,,,,
Reuse,Reuse,Use of data with a subsequent context i.e. different from its initial context,dpv:Use,dpv,,,,,"Difference in context can be for means, purpose, legal basis, etc.",,,,,,
ConvertFormat,Convert Format,Convert data from one format to another,dpv:Transform,dpv,,,,,,DGA 12.d,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Legal Entities,,,,,,,,,,,,,,,
CharityOrganisation,Charity Organisation,An organization that supports a cause by fundraising or through donations and charity,dpv:LegalEntity,dpv,,,,,,,,,,,
DataReuseCompetentBody,Data Reuse Competent Body,An entity designated by a public sector body to provide legal and technical support on the access and reuse of public sector data,dpv:LegalEntity,dga,,,,,,DGA 7,,,,,
DataAltruismOrganisation,Data Altruism Organisation,An non-profit organisation whom collects and shares data for altruistic purposes,dpv:NonProfitOrganisation,dga,,,,,,"DGA 2.16, 18",,,,,
DataCooperative,Data Cooperative,"An entity constituted by data subjects, one-person undertakings or SMEs who provides data intermediation services and supports its members in the exercise of their data-related rights",DataIntermediationServiceProvider,dga,,,,,,"DGA 2.15, 10.c",,,,,
DataHolder,Data Holder,An entity who has the right to grant access to or to share certain personal data or non-personal data,dpv:LegalEntity,dga,,,,,,DGA 2.8,,,,,
DataIntermediationAuthority,Data Intermediation Authority,An authority tasked with overseeing the activity of data intermediation service providers and maintaining a public register of said entities,dpv:Authority,dga,,,,,,DGA 13,,,,,
DataIntermediationServiceProvider,Data Intermediation Service Provider,An entity who establishes commercial relationships for the data sharing between data subjects and data holders on the one hand and data users on the other,dpv:LegalEntity,dga,,,,,,DGA 2.11,,,,,
DataIntermediationServiceProviderForDataHolder,Data Intermediation Service Provider for Data Holder,"An entity who makes data holders' data available for potential data users, including bilateral or multilateral exchanges of data and platforms and databases for the joint exploitation of data",DataIntermediationServiceProvider,dga,,,,,,DGA 10.a,,,,,
DataIntermediationServiceProviderForDataSubject,Data Intermediation Service Provider for Data Subject,An entity who makes data subjects' personal data available for potential data users,DataIntermediationServiceProvider,dga,,,,,,DGA 10.b,,,,,
DataUser,Data User,An entity who has access an the right to use personal or non-personal data for commercial or non-commercial purposes,dpv:LegalEntity,dga,,,,,,DGA 2.9,,,,,
EuropeanDataInnovationBoard,European Data Innovation Board,An authority tasked with overseeing the activities of data intermediation service providers and data altruism organisations,dpv:SupraNationalAuthority,dga,,,,,,DGA 29,,,,,
PrivateSectorBody,Private Sector Body,Private Sector Body,dpv:LegalEntity,dpv,,,,,,,,,,,
PublicSectorBody,Public Sector Body,"An entity or association of entities governed by public law formed by one or more State, regional or local authorities",dpv:LegalEntity,dpv,,,,,,DGA 2.17,,,,,
SingleInformationPointProvider,Single Information Point Provider,An entity who is responsible for receiving and transmiting requests for the re-use of public data,dpv:LegalEntity,dga,,,,,,DGA 8,,,,,
EUSingleInformationPointProvider,EU Single Information Point Provider,An entity who is responsible for receiving and transmiting requests for the re-use of public data in the EU,SingleInformationPointProvider,dga,,,,,,DGA 8.4,,,,,
LocalSingleInformationPointProvider,Local Single Information Point Provider,A local entity who is responsible for receiving and transmiting requests for the re-use of public data,SingleInformationPointProvider,dga,,,,,,,,,,,
NationalSingleInformationPointProvider,National Single Information Point Provider,A national entity who is responsible for receiving and transmiting requests for the re-use of public data,SingleInformationPointProvider,dga,,,,,,,,,,,
RegionalSingleInformationPointProvider,Regional Single Information Point Provider,A regional entity who is responsible for receiving and transmiting requests for the re-use of public data,SingleInformationPointProvider,dga,,,,,,,,,,,
SectorialSingleInformationPointProvider,Sectorial Single Information Point Provider,An entity who is responsible for receiving and transmiting requests for the re-use of public data for a particular sector,SingleInformationPointProvider,dga,,,,,,,,,,,
SMEOrganisation,Small or Medium Enterprise,Organisations with a low number of employees,dpv:LegalEntity,dpv,,,,,,,,,,,
StartupOrganisation,Startup,Newly established organisation,dpv:LegalEntity,dpv,,,,,,,,,,,
DataAltruismAuthority,Data Altruism Authority,An authority tasked with overseeing the activity of data altruism organisations and maintaining a public register of said entities,dpv:Authority,dga,,,,,,DGA 23,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data,,,,,,,,,,,,,,,
CommerciallyConfidentialData,Commercially Confidential Data,Data protected through Commercial Confidentiality Agreements,dpv:Data,dpv,,,,,,,,,,,
ConfidentialData,Confidential Data,Confidential Data,dpv:Data,dpv,,,,,,,,,,,
IntellectualProperty,Intellectual Property,Data protected through Intellectual Property,dpv:Data,dpv,,,,,,,,,,,
SensitiveData,Sensitive Data,Sensitive Data,dpv:Data,dpv,,,,,,,,,,,
SensitiveNonPersonalData,Sensitive Non-personal Data,Sensitive Non-personal Data,dpv:SensitiveData,dpv,,,,,,,,,,,
StatisticallyConfidentialData,Statistically Confidential Data,Data protected through Statistical Confidentiality Agreements,dpv:Data,dpv,,,,,,,,,,,
,,,,,,,,,,,,,,,
