"ExternalConcept","DPVconcept","MappingType"
"odrl:Party","dpv:Entity","skos:narrower"
"odrl:Purpose","dpv:Purpose","skos:narrower"
"odrl:Action","dpv:Processing","skos:narrower"
"odrl:Asset","dpv:Data","skos:narrower"
"odrl:Asset","dpv:PersonalData","skos:narrower"
"odrl:Policy","dpv:LegalAgreement","skos:narrower"
"odrl:LeftOperand","dpv:hasTechnicalOrganisationalMeasure","rdf:type"
"odrl:LeftOperand","dpv:hasTechnicalMeasure","rdf:type"
"odrl:LeftOperand","dpv:hasOrganisationalMeasure","rdf:type"
"odrl:LeftOperand","dpv:hasLocation","rdf:type"
"odrl:LeftOperand","dpv:hasJurisdiction","rdf:type"
"odrl:LeftOperand","dpv:hasApplicableLaw","rdf:type"
"odrl:LeftOperand","dpv:hasLegalBasis","rdf:type"
"odrl:LeftOperand","dpv:hasRecipient","rdf:type"
"odrl:LeftOperand","dpv:hasRight","rdf:type"
"odrl:LeftOperand","dpv:hasRisk","rdf:type"
"odrl:LeftOperand","dpv:hasData","rdf:type"
"odrl:LeftOperand","dpv:hasPersonalData","rdf:type"
"odrl:LeftOperand","dpv:hasDataController","rdf:type"
"odrl:LeftOperand","dpv:hasDataProcessor","rdf:type"
"odrl:LeftOperand","dpv:hasHumanSubject","rdf:type"
"odrl:LeftOperand","dpv:hasDataSubject","rdf:type"
"odrl:LeftOperand","dpv:hasContext","rdf:type"
"odrl:LeftOperand","dpv:hasTechnology","rdf:type"
